Model,female_dim3_3,female_dim3_5,female_dim4_3,male_dim3_3,male_dim3_5,male_dim4_3,diet_dim3_3,diet_dim3_5,diet_dim4_3
female_dim3_3,0.00390625,0.37109375,0.27734375,0.30078125,0.40234375,0.37109375,0.44921875,0.45703125,0.45703125
female_dim3_5,0.37109375,0.00390625,0.41796875,0.42578125,0.30859375,0.30859375,0.44921875,0.45703125,0.45703125
female_dim4_3,0.27734375,0.41796875,0.00390625,0.11328125,0.37890625,0.33203125,0.44921875,0.45703125,0.44921875
male_dim3_3,0.30078125,0.42578125,0.11328125,0.00390625,0.38671875,0.30859375,0.44921875,0.45703125,0.44921875
male_dim3_5,0.40234375,0.30859375,0.37890625,0.38671875,0.00390625,0.30078125,0.44921875,0.45703125,0.45703125
male_dim4_3,0.37109375,0.30859375,0.33203125,0.30859375,0.30078125,0.00390625,0.44921875,0.45703125,0.45703125
diet_dim3_3,0.44921875,0.44921875,0.44921875,0.44921875,0.44921875,0.44921875,0.00390625,0.02734375,0.03515625
diet_dim3_5,0.45703125,0.45703125,0.45703125,0.45703125,0.45703125,0.45703125,0.02734375,0.00390625,0.04296875
diet_dim4_3,0.45703125,0.45703125,0.44921875,0.44921875,0.45703125,0.45703125,0.03515625,0.04296875,0.00390625
